Mission Subphase,Sol,Centroid Longitude,Centroid Latitude,Area,Maximum Latitude,Minimum Latitude,Confidence Interval,Horizontal Distance,Vertical Distance
B03,32,166.65,-35.65,693824.12,-27.25,-42.45,75,766.2693470399516,899.2006119444869
B03,32,-101.95,-40.35,2825510.5,-23.05,-52.45,75,1583.1411947287456,1739.2432888926255
B04,1,-48.45,-26.75,210373.03,-21.85,-31.65,100,363.3126376753034,579.7477629642082
B04,1,-105.75,-44.65,1098587.5,-33.85,-52.05,75,995.9072961073243,1076.67441693353
B04,1,-35.05,-46.95,2170535.0,-26.35,-58.75,50,1063.4495701001367,1916.7170938816685
B04,2,-47.75,-34.65,2212554.2,-11.15,-57.65,75,824.3455713230844,2750.843977330173
B04,2,-77.55,-22.45,2079236.6,-6.24999,-38.35,75,1108.1855182430104,1898.9703049621144
B04,2,-35.45,-31.35,447607.09,-22.45,-39.75,100,437.8648614937692,1023.432275436817
B04,2,66.85,-32.35,737585.06,-18.05,-44.55,50,469.34416108231596,1567.6852774032163
B04,3,-72.85,-25.55,1333956.0,-14.95,-36.85,75,1038.9856401990091,1295.558776420017
B04,3,-5.54999,-44.55,90760.203,-41.75,-48.35,100,234.60770531185554,390.44237097589564
B04,3,-90.65,-45.25,247969.8,-39.05,-52.45,50,316.3209317232902,792.7163289510605
B04,3,-45.55,-33.75,2591982.5,-10.95,-57.25,50,976.5713300855913,2739.012390330903
B04,3,67.85,-22.95,869137.69,-7.45,-36.85,75,502.32559141513366,1739.2432888926255
B04,4,20.25,-49.25,343268.0,-44.05,-53.05,75,636.4172398529872,532.4214149671302
B04,4,136.55,-49.35,188370.5,-44.85,-53.15,75,381.26839602885366,491.0108604696867
B04,4,-44.65,-23.45,3390817.0,3.15,-50.85,75,1105.1462054937529,3194.5284898027817
B04,4,-119.55,-9.35,38692.336,-7.55,-11.15,100,181.71086041629678,212.9685659868521
B04,5,-161.65,-45.75,148268.22,-41.75,-48.95,75,345.8578322963816,425.93713197370437
B04,5,-20.25,-49.55,47354.355,-47.95,-51.25,75,242.84990177623405,195.22118548794762
B04,5,-23.85,-15.65,3769421.8,1.45,-32.15,50,1921.0242819106093,1987.706615877286
B04,5,-120.55,-9.05,17495.604,-8.14999,-9.85,75,173.94829922347233,100.56908107314116
B04,6,-131.45,-44.05,317781.56,-35.75,-50.85,100,352.3451505150977,893.2848184448519
B04,6,-36.95,-16.35,2373855.8,-1.45,-29.85,50,1422.5142011442508,1680.0853538962776
B04,6,61.15,-33.05,157433.42,-29.25,-37.05,75,341.8368385222266,461.43189297151275
B04,7,-91.65,-45.35,698558.5,-36.95,-51.85,75,781.7324107793977,881.453231445582
B04,7,17.65,-48.95,62007.531,-45.75,-50.85,100,202.96030031494038,301.7054684813742
B04,9,47.55,-43.15,352442.0,-37.15,-50.35,75,456.84613108870127,780.8847419517913
B04,10,-5.25,-50.25,334676.09,-45.75,-54.75,100,629.2391767563712,532.4214149671305
